2026-08-07 09:31:21,828 | INFO | ============================================================
2026-08-07 09:31:21,831 | INFO | Starting RAG Ingestion Pipeline
2026-08-07 09:31:21,832 | INFO | ============================================================
2026-08-07 09:31:21,834 | INFO | Found 4 file(s).
2026-08-07 09:31:21,836 | INFO | Loading Ai.pdf
2026-08-07 09:31:22,758 | INFO | Loaded 1 page(s) from Ai.pdf
2026-08-07 09:31:22,759 | INFO | Loading Deep_Learning.pdf
2026-08-07 09:31:22,811 | INFO | Loaded 1 page(s) from Deep_Learning.pdf
2026-08-07 09:31:22,813 | INFO | Loading Machine_learning.pdf
2026-08-07 09:31:22,890 | INFO | Loaded 1 page(s) from Machine_learning.pdf
2026-08-07 09:31:22,893 | INFO | Loading RAG.pdf
2026-08-07 09:31:22,976 | INFO | Loaded 1 page(s) from RAG.pdf
2026-08-07 09:31:22,977 | INFO | Successfully loaded 4 document(s).
2026-08-07 09:31:22,977 | INFO | Loaded 4 documents.
2026-08-07 09:31:22,978 | INFO | Splitting 4 document(s)...
2026-08-07 09:31:22,979 | INFO | Created 4 chunks.
2026-08-07 09:31:22,979 | INFO | Generated 4 chunks.
2026-08-07 09:31:22,980 | INFO | Initializing Gemini Embedding Model...
2026-08-07 09:31:25,990 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 09:31:28,436 | INFO | Adding 4 chunks to ChromaDB...
2026-08-07 09:31:42,908 | INFO | Documents indexed successfully.
2026-08-07 09:31:42,909 | INFO | ============================================================
2026-08-07 09:31:42,910 | INFO | Knowledge Base Created Successfully!
2026-08-07 09:31:42,911 | INFO | ============================================================
2026-08-07 09:34:37,125 | INFO | Initializing Gemini Embedding Model...
2026-08-07 09:34:39,866 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 09:34:40,206 | INFO | Initializing RAG Pipeline...
2026-08-07 09:34:40,207 | INFO | Retriever initialized with Top-K = 3
2026-08-07 09:34:40,209 | INFO | Initializing Prompt Template...
2026-08-07 09:34:40,210 | INFO | Prompt Template initialized successfully.
2026-08-07 09:34:40,211 | INFO | Initializing Gemini Chat Model...
2026-08-07 09:34:42,371 | INFO | Gemini Chat Model initialized successfully.
2026-08-07 09:34:42,372 | INFO | RAG Pipeline initialized successfully.
2026-08-07 09:35:02,153 | INFO | ============================================================
2026-08-07 09:35:02,155 | INFO | Starting RAG Ingestion Pipeline
2026-08-07 09:35:02,157 | INFO | ============================================================
2026-08-07 09:35:02,162 | INFO | Found 4 file(s).
2026-08-07 09:35:02,163 | INFO | Loading Ai.pdf
2026-08-07 09:35:02,506 | INFO | Loaded 1 page(s) from Ai.pdf
2026-08-07 09:35:02,506 | INFO | Loading Deep_Learning.pdf
2026-08-07 09:35:02,544 | INFO | Loaded 1 page(s) from Deep_Learning.pdf
2026-08-07 09:35:02,544 | INFO | Loading Machine_learning.pdf
2026-08-07 09:35:02,582 | INFO | Loaded 1 page(s) from Machine_learning.pdf
2026-08-07 09:35:02,583 | INFO | Loading RAG.pdf
2026-08-07 09:35:02,632 | INFO | Loaded 1 page(s) from RAG.pdf
2026-08-07 09:35:02,633 | INFO | Successfully loaded 4 document(s).
2026-08-07 09:35:02,633 | INFO | Loaded 4 documents.
2026-08-07 09:35:02,634 | INFO | Splitting 4 document(s)...
2026-08-07 09:35:02,635 | INFO | Created 4 chunks.
2026-08-07 09:35:02,636 | INFO | Generated 4 chunks.
2026-08-07 09:35:02,636 | INFO | Initializing Gemini Embedding Model...
2026-08-07 09:35:04,883 | INFO | Gemini Embedding Model initialized successfully.
2026-08-07 09:35:04,920 | INFO | Adding 4 chunks to ChromaDB...
2026-08-07 09:35:07,734 | INFO | Documents indexed successfully.
2026-08-07 09:35:07,735 | INFO | ============================================================
2026-08-07 09:35:07,737 | INFO | Knowledge Base Created Successfully!
2026-08-07 09:35:07,738 | INFO | ============================================================
2026-08-07 09:35:07,762 | INFO | Initializing Gemini Embedding Model...
